SUB,R2-ET,NSE-ET,PBIAS-ET,R2-LAI,NSE-LAI,PBIAS-LAI,R2-NPPC,NSE-NPPC,PBIAS-NPPC,LULC
5484,0.783110886,0.782152129,1,0.635695475,0.628068421,5.6,0.739742286,0.723725658,18.3,CNRN
5485,0.604946703,0.529476274,-19.5,0.830555702,0.181948582,-53.2,0.685991799,0.592691101,-22.6,WSAK
5486,0.724000211,0.694051039,9.2,0.644057509,0.593262318,33.9,0.594057689,0.374587499,63.7,CNRN
5487,0.828266382,0.797090509,12.1,0.838074481,0.802308828,-16.5,0.839214238,0.782074945,-12,PNST
5488,0.669226762,0.597972816,6.3,0.855309721,0.851834143,7.9,0.658073618,0.638749395,-4.7,CNRN
5489,0.671398256,0.45245456,10.3,0.865500759,0.671717852,50.2,0.766764725,0.654984165,45.1,CSRN
5490,0.839114968,0.826753578,-1.1,0.91006691,0.814648329,-18,0.653629107,0.652345962,-0.7,PSST
5491,0.789916091,0.764981594,-4.5,0.776882468,0.614316432,55.7,0.539828623,0.244649052,76,CSRN
5492,0.692996493,0.556518057,-20.9,0.829284036,0.324704961,-51.1,0.861678372,0.713034296,-26.4,WNAK
5493,0.746946773,0.727104468,0,0.897543378,0.885686507,11.6,0.813417946,0.764376916,-2.7,CNRN
5494,0.820324297,0.743821092,11.8,0.780423337,0.509787438,65.1,0.613918033,-0.23338697,105.2,CSRN
5495,0.783093598,0.738043319,6.6,0.8766128,0.794153388,42.6,0.765100811,0.736588978,9.2,CSRN
5496,0.919024382,0.886395631,2.2,0.891034359,0.877084847,10.8,0.788461621,0.726543649,-10.1,PNST
5497,0.758400939,0.74536183,7.5,0.900787336,0.655643836,-32.5,0.881283428,0.828198586,-11.9,PSST
5498,0.796700357,0.763969569,-7.3,0.775729676,0.572499551,58.8,0.596947509,0.232270177,77.1,CSRN
5499,0.816194933,0.809379434,6.4,0.696375861,0.667346914,11,0.749690751,0.729154803,19.1,CNRN
5500,0.892292082,0.849034439,-4.1,0.920462563,0.837613459,-13.2,0.847758819,0.769243495,-12.4,PNST
5501,0.890040405,0.819208724,24.3,0.915742663,0.907231237,9.9,0.825742421,0.779815391,-5.7,ASEN
5502,0.863280963,0.812141139,19.8,0.92804454,0.923052716,8.3,0.834313229,0.806340394,1.5,ASWN
5503,0.745141843,0.684189015,-8.2,0.792453537,0.55868146,-37.4,0.824696094,0.812115391,-4.7,WCAK
5504,0.84207659,0.84160145,1.3,0.88899954,0.877191916,5,0.839657319,0.809929408,4.6,PNST
5505,0.789103143,0.753727656,-11.3,0.230204434,0.031545538,10.7,0.679305819,-0.367119915,88.5,URBN
5506,0.852560067,0.804888958,-6.8,0.730395301,0.718729875,12.5,0.77512611,0.755213881,17.4,PNST
5507,0.879242216,0.859633165,11.6,0.874439734,0.757498877,-21.8,0.79102174,0.721682095,-13.6,PNST
5508,0.575167623,0.517205647,3.5,0.863393447,0.863303944,0.3,0.894140452,0.839941942,-12.2,CNRN
5509,0.789650038,0.770298804,8.2,0.67314445,0.537969752,47.1,0.68861569,0.564041953,43,CNRN
5510,0.754950801,0.66815291,9.9,0.918260254,0.912257854,10.7,0.804750016,0.771998249,-3.6,CNRN
5511,0.887759901,0.834571128,-15.5,0.903278779,0.843242506,17.8,0.787023494,-0.337916239,118.5,ASWN
5512,0.665941786,0.540016264,-1.5,0.819050009,0.669321006,36.8,0.690094992,0.669465152,22.3,CSRN
5513,0.545677588,-0.130414283,32.5,0.801437527,0.651724991,-32,0.833611372,0.784523367,-13,PSST
5514,0.67513866,0.471042197,4,0.872400411,0.612120437,46.7,0.828862903,0.80318415,22,CSRN
5515,0.827543837,0.814063426,4.3,0.74900881,0.735900756,12.1,0.828410723,0.787833017,27,CNRN
5516,0.613065674,0.284757214,6.6,0.843925589,0.547415144,43.8,0.840607221,0.825553725,6.8,CSRN
5517,0.677010279,0.429339404,12.5,0.75313724,0.480665323,63.3,0.595796883,0.475240131,50.9,CSRN
5518,0.672209116,0.518846229,3.1,0.891357006,0.702766463,53.9,0.689944818,0.67363907,13,CSRN
5519,0.63927944,0.543223144,2.8,0.780277938,0.695627647,32.1,0.706458888,0.695494849,16,CSRN
5520,0.701108871,0.676676396,12.8,0.814572084,0.812698354,-0.5,0.809449459,0.793836714,13.5,PNST
5521,0.830530879,0.817371624,11.8,0.908243605,0.897389198,-9,0.784443313,0.769611143,18.6,ASWN
5522,0.628263766,0.587726595,-2.7,0.911338868,0.765803167,-23.4,0.655688296,0.621577626,15.4,WSAK
5523,0.779402796,0.594047443,27.8,0.574802974,-0.078382477,81.1,0.689884303,-0.119099246,92.6,CNRN
5524,0.886567324,0.871201477,12.2,0.939705956,0.939690371,0.4,0.874180375,0.841048935,-4.1,ASWN
5525,0.742844298,0.700959127,2.4,0.925309449,0.904203471,20.5,0.783108794,0.746389521,2.8,CNRN
5526,0.743883254,0.7331245,-1.3,0.819221589,0.763952593,33.3,0.810850835,0.773273157,27.7,CSRN
5527,0.890664761,0.869329411,3.8,0.872062249,0.864460875,-7.3,0.849889124,0.836103214,2.6,PNST
5528,0.607129344,0.485059174,-0.6,0.876600449,0.804210791,27.1,0.848095127,0.837543759,4.3,CSRN
5529,0.602724122,0.530176446,6.9,0.91558195,0.914704558,-1.9,0.893201223,0.816939876,-17.8,SNYB
5530,0.700403872,0.643302591,13.1,0.858086362,0.849068954,10.8,0.899148415,0.843285607,25.8,CNRN
5531,0.698675625,0.677425345,7.5,0.903878008,0.804345606,31,0.849423015,0.830137195,-5.6,CNRN
5532,0.767639938,0.732420572,5.9,0.84742833,0.845745265,1.1,0.891660648,0.861450125,-3,CNRN
5533,0.798092846,0.76493873,-12.5,0.884371636,0.777012169,-21.3,0.609944752,0.601596269,0.3,WSAK
5534,0.646604243,0.528990804,0.7,0.825888097,0.653392735,47.2,0.708838646,0.601216496,45.2,CSRN
5535,0.808450909,0.779911628,18.1,0.819860629,0.776784799,-17.9,0.794225642,0.718458622,-16.9,ASEN
5536,0.83513052,0.825892981,9.6,0.912949843,0.905413532,-7.4,0.841922769,0.834521741,8.9,ASWN
5537,0.804580632,0.678022211,-21.1,0.898479276,0.197858202,-51.3,0.692688644,0.613792826,-19.2,WSAK
5538,0.838729577,0.744156849,23.3,0.771710625,0.633320001,10.9,0.800494386,0.682863306,34.1,PNST
5539,0.634523849,0.615422346,-4.2,0.868595022,0.852095177,-0.8,0.715637625,0.664650587,-10.5,CNRN
5540,0.829080269,0.823569617,-0.3,0.857187725,0.85675242,1,0.776295534,0.761894153,13.5,WCAK
5541,0.824840293,0.802740078,-9.3,0.831660961,0.769765992,-19.3,0.837552819,0.744908299,-16.3,PNST
5542,0.811464818,0.752610897,24.3,0.775562847,0.767988827,-9.3,0.797644143,0.778749241,-3.5,ASEN
5543,0.813312088,0.812622714,-1.8,0.814439118,0.761854039,33,0.733639945,0.625057608,45,CNRN
5544,0.848758415,0.562158025,-35,0.809031207,-0.459930832,89.8,0.848304485,0.427314279,75.3,WATR
5545,0.748326689,0.539452555,21.5,0.714641956,0.700877621,17.7,0.7052841,0.664186922,32.9,CSRN
5546,0.890044701,0.771386651,-22.6,0.812018368,0.483224097,62.8,0.847223783,-0.919978494,130.7,WEEF
5547,0.568775111,0.489478183,2.1,0.764909603,0.762145657,6,0.669811733,0.6600129,-3.8,CNRN
5548,0.852430447,0.835031709,10,0.883043405,0.696020434,-27.2,0.82972712,0.801388806,-3.4,WCAK
5549,0.637931205,0.582902366,1.8,0.890533222,0.889976308,3.5,0.841452985,0.835423279,2.1,CNRN
5550,0.740969512,0.673273104,9.2,0.832664152,0.816774399,16.8,0.816709575,0.712646162,39.9,CNRN
5551,0.764958028,0.496131854,33.2,0.62479364,0.193977532,59.4,0.736295202,0.159515501,79.4,CNRN
5552,0.620517574,0.535354049,7.8,0.804927706,0.800525527,2.1,0.693532316,0.677731099,-0.6,CNRN
5553,0.743066015,0.536910285,23.5,0.589767573,0.384944447,55.3,0.531879633,-0.281050758,112.6,CNRN
5554,0.792449399,0.726410541,-13.6,0.346989014,0.243885398,9,0.695657882,-4.48744188,190.1,URBN
5555,0.721411246,0.496223241,15.8,0.769811442,0.707797356,27.3,0.856722694,0.730223208,44.4,CSRN
5556,0.776590274,0.706795481,25.2,0.859733259,0.857545438,-0.8,0.75851753,0.73210624,-6,ASEN
5557,0.806388198,0.799942157,0.5,0.905458419,0.892708469,7.7,0.819935348,0.75762737,29.5,WCAK
5558,0.868016107,0.865902373,0.5,0.768635087,0.75943511,11.3,0.79464882,0.776811048,12.8,CNRN
5559,0.824507058,0.715588835,-4.5,0.828944269,0.393555559,-45.8,0.786336095,0.610940774,-26.6,ASEN
5560,0.669404144,0.610685891,-1.1,0.867358987,0.818474617,26,0.825849066,0.813919503,13.2,CSRN
5561,0.775021905,0.743098791,-1.9,0.813150977,0.793534763,-11.8,0.790673698,0.777924274,-2.9,WCAK
5562,0.713160679,0.415336958,20.5,0.585111468,0.584376385,1.4,0.607497966,-0.043149358,91.3,URBN
5563,0.788315688,0.540423554,-28.7,0.86561236,-0.06509206,-59.4,0.707416702,0.57532537,-22.3,WSAK
5564,0.748521842,0.707816533,3.3,0.848487133,0.802684925,28,0.787109471,0.729840001,34.2,CNRN
5565,0.79158947,0.784937174,6,0.904086014,0.807698845,-18.8,0.887201646,0.769423262,-18.9,PSST
5566,0.849275076,0.787812386,-12.1,0.801412584,0.692730334,-27.6,0.840566802,0.70380405,-26.9,WNAK
5567,0.764061084,0.740476607,2.3,0.918973493,0.902009485,19.3,0.759719058,0.572999672,-28.1,CSRN
5568,0.756483551,0.488690792,-28.8,0.248769646,-0.082869191,-52.5,0.758702736,0.651976661,-20.9,URBN
5569,0.643192338,0.592683933,7.8,0.91401275,0.884429381,-4.3,0.838124721,0.710918285,-22.9,CNRN
5570,0.832574798,0.827147606,5.2,0.878178066,0.872674761,-6.7,0.85850602,0.851586926,7.6,PNST
5571,0.627736153,0.445880254,-1.6,0.833378916,0.436311211,52,0.787800793,0.708109204,35.2,CSRN
5572,0.824206407,0.775373696,19.1,0.852742039,0.835167089,-10,0.817139504,0.801211043,-1.8,ASEN
5573,0.866587499,0.814909196,-9,0.837926226,0.563378868,-41.1,0.851426083,0.529431619,-43,ASWN
5574,0.910628082,0.883678491,3.5,0.934291512,0.922656397,10.5,0.878124731,0.852527856,-3.6,ASWN
5575,0.852731105,0.848069621,-1.5,0.765135813,0.459511708,74.3,0.505971506,-0.061390998,95.9,SSYB
5576,0.638172889,0.436097606,2.4,0.834689758,0.684132055,40.3,0.67265497,0.649921383,-0.5,CSRN
5577,0.854944869,0.809725791,20.9,0.939862032,0.936783442,5.6,0.83033706,0.823776184,10.7,ASEN
5578,0.72309151,0.669846215,3.2,0.894387665,0.882412445,17.2,0.762730119,0.694132222,-10.6,CNRN
5579,0.868632272,0.831821061,17.5,0.903156125,0.901829763,3.6,0.822277617,0.809580257,9.8,ASWN
5580,0.778357558,0.703815847,8.8,0.913617702,0.78433884,50.7,0.771048138,0.747998584,19.3,CSRN
5581,0.816059328,0.789208145,18.1,0.908125213,0.899829155,-7.2,0.786254624,0.770511953,19.2,ASWN
5582,0.798514525,0.778661129,11.1,0.843466918,0.683697589,-31.2,0.797310102,0.715276376,-17.5,ASEN
5583,0.81513201,0.808732826,3.2,0.396087194,0.357993597,-16.9,0.822103952,0.775501206,24.2,PNST
